Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,09,047500,011,5520,9999,1,1,11,11,Sprague town,11,11,897015,0,0,0,0,0,0,0,0,0,10,10,809400,0,0,0,0,0,0,0,0,0
8999,09,047700,013,3282,3280,1,1,12,12,Stafford town,51,51,4238500,8,16,940000,0,0,0,1,9,150000,51,51,4238500,8,16,940000,0,0,0,1,9,150000
8999,09,048000,001,5602,8040,1,1,12,12,Stamford,66,66,9930600,3,6,312000,0,0,0,2,36,1050000,66,66,9930600,3,6,312000,0,0,0,2,36,1050000
8999,09,048500,015,9999,9999,1,1,12,12,Sterling town,59,59,3244500,1,2,80000,0,0,0,0,0,0,59,59,3244500,1,2,80000,0,0,0,0,0,0
8999,09,049000,011,9999,9999,1,1,12,12,Stonington borough,1,1,110000,0,0,0,0,0,0,0,0,0,1,1,110000,0,0,0,0,0,0,0,0,0
8999,09,049100,011,5520,9999,1,1,12,12,Stonington town,49,49,4759320,1,2,94000,0,0,0,0,0,0,49,49,4759320,1,2,94000,0,0,0,0,0,0
8999,09,049500,001,5602,1160,1,1,12,12,Stratford town,62,62,7468500,8,16,917500,0,0,0,0,0,0,62,62,7468500,8,16,917500,0,0,0,0,0,0
8999,09,050000,003,3282,3280,1,1,12,12,Suffield town,20,20,3328547,0,0,0,0,0,0,0,0,0,20,20,3328547,0,0,0,0,0,0,0,0,0
8999,09,050500,005,8880,9999,1,1,12,12,Thomaston town,81,81,3376307,0,0,0,0,0,0,0,0,0,81,81,3376307,0,0,0,0,0,0,0,0,0
8999,09,050700,015,9999,9999,1,1,12,12,Thompson town,50,50,4906500,2,4,272000,0,0,0,0,0,0,50,50,4906500,2,4,272000,0,0,0,0,0,0
8999,09,051000,013,3282,3280,1,1,12,12,Tolland town,43,43,5543500,0,0,0,0,0,0,0,0,0,43,43,5543500,0,0,0,0,0,0,0,0,0
8999,09,051500,005,9999,9999,1,1,12,12,Torrington,229,229,14228602,0,0,0,0,0,0,0,0,0,229,229,14228602,0,0,0,0,0,0,0,0,0
8999,09,052000,001,5602,1160,1,1,12,12,Trumbull town,33,33,3628500,0,0,0,0,0,0,0,0,0,33,33,3628500,0,0,0,0,0,0,0,0,0
